validTimeUtc,irradianceGlobalHorizontal,irradianceDirectNormal,
Monday October 10 2022 at 8:15:00 PM,0,0,
Monday October 10 2022 at 8:30:00 PM,0,0,
Monday October 10 2022 at 8:45:00 PM,0,0,
Monday October 10 2022 at 9:00:00 PM,0,0,
Monday October 10 2022 at 9:15:00 PM,0,0,
Monday October 10 2022 at 9:30:00 PM,0,0,
Monday October 10 2022 at 9:45:00 PM,0,0,
Monday October 10 2022 at 10:00:00 PM,0,0,
Monday October 10 2022 at 10:15:00 PM,0,0,
Monday October 10 2022 at 10:30:00 PM,0,0,
Monday October 10 2022 at 10:45:00 PM,0,0,
Monday October 10 2022 at 11:00:00 PM,0,0,
Monday October 10 2022 at 11:15:00 PM,0,0,
Monday October 10 2022 at 11:30:00 PM,0,0,
Monday October 10 2022 at 11:45:00 PM,0,0,
Tuesday October 11 2022 at 12:00:00 AM,0,0,
Tuesday October 11 2022 at 12:15:00 AM,0,0,
Tuesday October 11 2022 at 12:30:00 AM,0,0,
Tuesday October 11 2022 at 12:45:00 AM,0,0,
Tuesday October 11 2022 at 1:00:00 AM,0,0,
Tuesday October 11 2022 at 1:15:00 AM,0,0,
Tuesday October 11 2022 at 1:30:00 AM,0,0,
Tuesday October 11 2022 at 1:45:00 AM,0,0,
Tuesday October 11 2022 at 2:00:00 AM,0,0,
Tuesday October 11 2022 at 2:15:00 AM,0,0,
Tuesday October 11 2022 at 2:30:00 AM,0,0,
Tuesday October 11 2022 at 2:45:00 AM,0,0,
Tuesday October 11 2022 at 3:00:00 AM,0,0,
Tuesday October 11 2022 at 3:15:00 AM,0,0,
Tuesday October 11 2022 at 3:30:00 AM,0,0,
Tuesday October 11 2022 at 3:45:00 AM,0,0,
Tuesday October 11 2022 at 4:00:00 AM,0,0,
Tuesday October 11 2022 at 4:15:00 AM,0,0,
Tuesday October 11 2022 at 4:30:00 AM,0,0,
Tuesday October 11 2022 at 4:45:00 AM,0,0,
Tuesday October 11 2022 at 5:00:00 AM,0,0,
Tuesday October 11 2022 at 5:15:00 AM,0,0,
Tuesday October 11 2022 at 5:30:00 AM,0,0,
Tuesday October 11 2022 at 5:45:00 AM,0,0,
Tuesday October 11 2022 at 6:00:00 AM,0,0,
Tuesday October 11 2022 at 6:15:00 AM,0,0,
Tuesday October 11 2022 at 6:30:00 AM,0,0,
Tuesday October 11 2022 at 6:45:00 AM,0,0,
Tuesday October 11 2022 at 7:00:00 AM,0,0,
Tuesday October 11 2022 at 7:15:00 AM,0,6.2,
Tuesday October 11 2022 at 7:30:00 AM,12.6,145.5,
Tuesday October 11 2022 at 7:45:00 AM,60.2,310.5,
Tuesday October 11 2022 at 8:00:00 AM,114.2,432.8,
Tuesday October 11 2022 at 8:15:00 AM,154.7,507.6,
Tuesday October 11 2022 at 8:30:00 AM,196.1,570,
Tuesday October 11 2022 at 8:45:00 AM,238.9,623,
Tuesday October 11 2022 at 9:00:00 AM,280.6,665.5,
Tuesday October 11 2022 at 9:15:00 AM,321.3,701.3,
Tuesday October 11 2022 at 9:30:00 AM,359.4,726.9,
Tuesday October 11 2022 at 9:45:00 AM,396.7,747,
Tuesday October 11 2022 at 10:00:00 AM,431.9,763,
Tuesday October 11 2022 at 10:15:00 AM,464,770.6,
Tuesday October 11 2022 at 10:30:00 AM,495.7,781,
Tuesday October 11 2022 at 10:45:00 AM,527,793,
Tuesday October 11 2022 at 11:00:00 AM,558.7,815.2,
Tuesday October 11 2022 at 11:15:00 AM,593,857.5,
Tuesday October 11 2022 at 11:30:00 AM,618.4,876.7,
Tuesday October 11 2022 at 11:45:00 AM,636.4,879.1,
Tuesday October 11 2022 at 12:00:00 PM,649.7,867,
Tuesday October 11 2022 at 12:15:00 PM,657.3,831.1,
Tuesday October 11 2022 at 12:30:00 PM,663.2,812.8,
Tuesday October 11 2022 at 12:45:00 PM,665.5,802.1,
Tuesday October 11 2022 at 1:00:00 PM,664.3,801.4,
Tuesday October 11 2022 at 1:15:00 PM,662.1,831.2,
Tuesday October 11 2022 at 1:30:00 PM,653.4,826.6,
Tuesday October 11 2022 at 1:45:00 PM,639.3,800.5,
Tuesday October 11 2022 at 2:00:00 PM,615.8,735.5,
Tuesday October 11 2022 at 2:15:00 PM,581,617.2,
